tick,rabbits,foxes,biomass,rabbit_births,rabbit_starved,rabbit_eaten,fox_births,fox_starved,motive_wander,motive_seek_food,motive_flee,motive_hunt,motive_seek_mate
0,889,114,7967255.74,1,0,0,2,0,940,0,6,0,57
60,932,145,8178660.93,1,0,0,2,0,991,39,2,4,41
120,991,157,8385423.17,1,0,0,2,0,978,48,3,6,113
180,1060,173,8590478.43,1,0,0,2,0,994,72,5,5,157
240,1180,185,8790963.65,1,0,0,2,0,996,106,5,3,255
300,1318,127,8990986.05,1,0,0,2,0,873,226,3,9,334
360,1503,125,9181762.50,1,0,0,2,0,881,208,4,6,529
420,1741,118,9370245.79,1,0,0,2,0,908,318,2,3,628
480,2016,118,9553856.93,1,0,0,2,0,929,406,6,5,788
540,2368,118,9728682.62,1,0,0,2,0,898,555,11,3,1019
600,2834,117,9890024.74,1,0,0,2,0,904,659,8,6,1374
660,3455,113,10037727.21,1,0,0,2,0,893,835,19,10,1811
720,4250,99,10170668.61,1,0,0,2,0,915,1128,31,8,2267
780,5246,88,10282123.17,1,0,0,2,0,902,1384,13,4,3031
840,6503,68,10370768.02,1,0,0,2,0,930,1860,5,2,3774
900,8159,57,10424477.56,1,0,0,2,0,971,2452,3,6,4784
960,10174,49,10440081.92,1,0,0,2,0,1091,3092,47,8,5985
1020,12511,29,10413043.33,1,0,0,2,0,1180,3838,47,9,7466
1080,15452,23,10343322.29,1,0,0,2,0,1395,5126,55,11,8888
1140,19055,22,10203915.32,1,0,0,2,0,1858,6319,30,4,10866
1200,23409,22,9991792.25,1,0,0,2,0,2507,7820,19,5,13080
1260,28534,20,9707953.58,1,0,0,2,0,3483,9424,14,5,15628
1320,34545,16,9346167.80,1,0,0,2,0,4604,11778,12,4,18163
1380,41411,16,8904053.84,1,0,0,2,0,6671,13930,15,2,20809
1440,49003,16,8385587.52,48598,142,342,89,187,8995,16555,24,0,23445
1500,57191,16,7806701.28,48598,142,342,89,187,12555,19212,20,1,25419
1560,66177,17,7151579.54,48598,142,342,89,187,16695,21683,68,5,27743
1620,75531,18,6448853.22,48598,142,342,89,187,21659,24448,47,6,29389
1680,85234,17,5721745.79,48598,142,342,89,187,27951,27168,76,7,30049
